Anolis carolinensis	Lizard	A_carolinensis	anoCar
Anopheles gambiae	A. gambiae	A_gambiae	anoGam
Apis mellifera	A. mellifera	A_mellifera	apiMel
Arabidopsis thaliana	Thale Cress	A_thaliana	
Bos taurus	Cow	B_taurus	bosTau
Branchiostoma floridae	Lancet	B_floridae	braFlo
Callithrix jacchus	Marmoset	C_jacchus	calJac
Cavia porcellus	Guinea Pig	C_porcellus	cavPor
Ciona intestinalis	C. intestinalis	C_intestinalis	ci
Caenorhabditis brenneri	C. brenneri	C_brenneri	caePb
Caenorhabditis briggsae	C. briggsae	C_briggsae	cb
Caenorhabditis elegans	C. elegans	C_elegans	ce
Caenorhabditis japonica	C. japonica	C_japonica	caeJap
Caenorhabditis remanei	C. remanei	C_remanei	caeRem
Canis lupus familiaris	Dog	C_familiaris	canFam
Drosophila ananassae	D. ananassae	D_ananassae	droAna
Drosophila erecta	D. erecta	D_erecta	droEre
Drosophila grimshawi	D. grimshawi	D_grimshawi	droGri
Drosophila melanogaster	D. melanogaster	D_melanogaster	dm
Drosophila mojavensis	D. mojavensis	D_mojavensis	droMoj
Drosophila persimilis	D. persimilis	D_persimilis	droPer
Drosophila pseudoobscura	D. pseudoobscura	D_pseudoobscura	dp
Drosophila sechellia	D. sechellia	D_sechellia	droSec
Drosophila simulans	D. simulans	D_simulans	droSim
Drosophila virilis	D. virilis	D_virilis	droVir
Drosophila yakuba	D. yakuba	D_yakuba	droYak
Danio rerio	Zebrafish	D_rerio	danRer
Equus caballus	Horse	E_caballus	equCab
Escherichia coli	E. coli	E_coli	
Felis catus	Cat	F_catus	felCat
Gallus gallus	Chicken	G_gallus	galGal
Gasterosteus aculeatus	Stickleback	G_aculeatus	gasAcu
Glycine max	Soybean	G_max	
Homo sapiens	Human	H_sapiens	hg
Macaca mulatta	Rhesus	M_mulatta	rheMac
Medicago truncatula	Barrel Medic	M_truncatula	
Monodelphis domestica	Opossum	M_domestica	monDom
Mus musculus	Mouse	M_musculus	mm
Mycobacterium abscessus	M. abcessus	M_abscessus	
Mycobacterium smegmatis	M. smegmatis	M_smegmatis	
Mycobacterium tuberculosis	M. tuberculosis	M_tuberculosis	
Ornithorhynchus anatinus	Platypus	O_anatinus	ornAna
Oryza sativa	Rice	O_sativa	
Oryzias latipes	Medaka	O_latipes	oryLat
Ostreococcus lucimarinus	O. lucimarinus	O_lucimarinus	
Pan troglodytes	Chimp	P_troglodytes	panTro
Petromyzon marinus	Lamprey	P_marinus	petMar
Plasmodium falciparum	P. falciparum	P_falciparum	Pfalciparum_3D7_plasmoDB-5.4	Pfalciparum_3D7_plasmoDB-5.5
Pongo pygmaeus abelii	Orangutan	P_abelii	ponAbe
Populus trichocarpa	Black Cottonwood	P_trichocarpa	
Pristionchus pacificus	P. pacificus	P_pacificus	priPac
Rattus norvegicus	Rat	R_norvegicus	rn
Saccharomyces cerevisiae	Yeast	S_cerevisiae	sacCer
Schizosaccharomyces pombe	Fission Yeast	S_pombe	
Sodalis glossinidius	S. glossinidius	S_glossinidius	
Sorghum bicolor	Sorghum	S_bicolor	
Strongylocentrotus purpuratus	Purple Sea Urchin	S_purpuratus	strPur
Taeniopygia guttata	Zebra Finch	T_guttata	taeGut
Takifugu rubripes	Fugu	T_rubripes	fr
Tetraodon nigroviridis	Tetraodon	T_nigroviridis	tetNig
Vitis vinifera	Common Grape Vine	V_vinifera	
Xenopus tropicalis	Pipid Frog	X_tropicalis	xenTro
